Name,Author,User Rating,Reviews,Price,Year,Genre,Rank
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Dietâ€¦,Thomas Campbell,4.7,4633,21,2011,Non Fiction,16
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2011,Non Fiction,17
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,9,2011,Non Fiction,18
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2011,Non Fiction,19
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,1463,10,2011,Fiction,20
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,19,2011,Non Fiction,21
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2011,Non Fiction,22
Steve Jobs,Walter Isaacson,4.6,7827,20,2011,Non Fiction,23
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2011,Fiction,24
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,20,2011,Fiction,25
Cutting for Stone,Abraham Verghese,4.6,4866,11,2011,Fiction,26
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,2011,Non Fiction,27
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2011,Non Fiction,28
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2011,Non Fiction,29
11/22/63: A Novel,Stephen King,4.6,2052,22,2011,Fiction,30
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2011,Fiction,31
Water for Elephants: A Novel,Sara Gruen,4.5,8958,12,2011,Fiction,32
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2011,Non Fiction,33
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2011,Non Fiction,34
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2011,Non Fiction,35
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11,2011,Fiction,36
The Litigators,John Grisham,4.4,6222,18,2011,Fiction,37
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,21,2011,Non Fiction,38
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13,2011,Non Fiction,39
What to Expect When You're Expecting,Heidi Murkoff,4.4,3341,9,2011,Non Fiction,40
The Official SAT Study Guide,The College Board,4.4,1201,40,2011,Non Fiction,41
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,20,2011,Non Fiction,42
Tina Fey: Bossypants,Tina Fey,4.3,5977,12,2011,Non Fiction,43
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,4587,21,2011,Non Fiction,44
The Paris Wife: A Novel,Paula McLain,4.3,3759,16,2011,Fiction,45
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,2314,22,2011,Non Fiction,46
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,2011,Fiction,47
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,2011,Non Fiction,48
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,2023,15,2011,Non Fiction,49
StrengthsFinder 2.0,Gallup,4,5069,17,2011,Non Fiction,50
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2012,Fiction,1
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2012,Non Fiction,2
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2012,Fiction,3
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,16,2012,Non Fiction,4
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,30,2012,Fiction,5
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,6247,10,2012,Fiction,6
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,2876,21,2012,Non Fiction,7
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,2091,12,2012,Fiction,8
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24,2012,Non Fiction,9
The Fault in Our Stars,John Green,4.7,50482,13,2012,Fiction,10
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,8,2012,Fiction,11
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2012,Fiction,12
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2012,Non Fiction,13
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2012,Non Fiction,14
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,9,2012,Non Fiction,15
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,6377,7,2012,Fiction,16
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2012,Non Fiction,17
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,11098,13,2012,Fiction,18
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,19,2012,Non Fiction,19
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,10795,21,2012,Non Fiction,20
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,20,2012,Non Fiction,21
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2012,Non Fiction,22
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,25,2012,Non Fiction,23
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,14,2012,Non Fiction,24
Steve Jobs,Walter Isaacson,4.6,7827,20,2012,Non Fiction,25
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2012,Fiction,26
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2012,Non Fiction,27
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2012,Non Fiction,28
The Amateur,Edward Klein,4.6,2580,9,2012,Non Fiction,29
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2012,Fiction,30
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,11,2012,Fiction,31
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32,2012,Fiction,32
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,10760,15,2012,Fiction,33
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2012,Non Fiction,34
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2012,Non Fiction,35
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2012,Non Fiction,36
Thomas Jefferson: The Art of Power,Jon Meacham,4.5,1904,23,2012,Non Fiction,37
Fifty Shades Darker,E L James,4.4,23631,7,2012,Fiction,38
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,17044,18,2012,Non Fiction,39
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2012,Fiction,40
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,6,2012,Non Fiction,41
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13,2012,Non Fiction,42
The Official SAT Study Guide,The College Board,4.4,1201,40,2012,Non Fiction,43
The Racketeer,John Grisham,4.3,14493,18,2012,Fiction,44
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2012,Non Fiction,45
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,1789,14,2012,Non Fiction,46
Gone Girl,Gillian Flynn,4,57271,10,2012,Fiction,47
StrengthsFinder 2.0,Gallup,4,5069,17,2012,Non Fiction,48
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2012,Fiction,49
The Casual Vacancy,J.K. Rowling,3.3,9372,12,2012,Fiction,50
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2013,Fiction,1
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2013,Non Fiction,2
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2013,Fiction,3
